Kp,Ki,Kd,Perf
1.141504203034224361e+02,1.393992404608905833e+00,1.878049424779193544e+01,8.943890867421547597e+00
3.006739739748932294e+01,1.387591832651949275e+01,2.961185883644113659e+01,8.493205206184770262e+00
3.654751782412120775e+01,1.922795814167127659e+01,1.734132460580604729e+01,8.350775226360919845e+00
2.286864067609797857e+01,6.445546452538875037e-01,1.164233754840682167e+01,9.362602377944147847e+00
1.947838414843674570e+01,5.465305133534257287e+00,8.460953541836669700e+00,8.975235506373712369e+00
1.381004298564069757e+02,3.677017412627212600e+00,1.037970556681629475e+01,9.210623256651880197e+00
1.881102961453890430e+02,4.347880510038795165e+00,1.343615473842338304e+01,9.719959691253230005e+00
1.479414180375571846e+02,1.307208383911900995e+01,1.461413238712843743e+01,9.238010817968365984e+00
1.312547288516373101e+02,2.595243389736485717e+00,4.593423696395140610e+01,3.895849223535763883e+01
1.631961916326304731e+02,1.448924529108838044e+01,8.812130784571643005e+00,9.624312743037936713e+00
7.976797382786141100e+01,1.367747984384937965e+01,4.692356308168796630e+01,4.219442720161011806e+01
1.316789219307284213e+02,3.578803442592131123e+00,4.568376005057682931e+01,2.429926488588211342e+01
1.134490936076055760e+02,4.132693667278362071e+00,4.956613817967262747e+01,4.000078701610711818e+01
4.145825131904229011e+01,2.714039734221294076e+00,1.496998694545069775e+01,8.639260629429793781e+00
2.191112445939315734e+01,9.752683728138428876e+00,2.345104952262336440e+01,8.769938201532680111e+00
1.478053217381257696e+02,1.144758739803686431e+01,1.709891748487291085e+00,5.801531830873983608e+00
4.463259164059486750e+01,1.559406802154931704e+01,4.199082893180288778e+01,3.574281379155243599e+01
7.012940130288089335e+01,1.248449778543586675e+01,2.705515523519181897e+01,9.709389460009751005e+00
4.850271529476677301e+01,6.810466050596010845e+00,4.737789139226368462e+01,6.034379639341698010e+01
9.774213374014381372e+01,4.953297946882666558e+00,1.350239545932733165e+01,8.531841195447846360e+00
1.537616136988132212e+02,1.372861895383489994e+01,1.394739551691114876e+01,9.330212466073010802e+00
1.728236529500993299e+02,3.258870475296504754e+00,7.496505939421299836e+00,9.786212260455878109e+00
1.433421315546739834e+02,1.642522491289545883e+01,4.987218640799254388e+01,3.673195010463506804e+01
4.592916359305921503e+01,8.168212808106122935e+00,1.887752762072279467e+01,8.437285149589442312e+00
9.054564191437010834e+01,1.326271383035673601e+01,2.197126696023461889e+01,8.924181546532615528e+00
1.712993160556478642e+02,1.156747733775065345e+00,4.188560383099771656e+01,2.763086038888746998e+01
1.520326296399215380e+02,1.340297653236374131e+01,1.326995049983762875e+01,9.322655585672078971e+00
6.327136817486036335e+01,1.320756751509902927e+01,2.877216466882250856e+01,9.942051188247972959e+00
2.028842520194450572e+01,5.410096014082556692e+00,1.190063088091829968e+01,8.998578033999303116e+00
1.722566891767764830e+01,1.243915052043974789e+01,1.517409975125709209e+01,8.761212448900021599e+00
1.220911182756589852e+02,1.307320543947395564e+01,4.106198040111751624e+01,1.921879342271425273e+01
7.470423474522458207e+01,1.955500130541913606e+01,3.655443406222824620e+01,9.178308889432152284e+00
4.391580888345050937e+01,1.910629020228831365e+01,3.889490229802412813e+01,8.703948238477138943e+00
8.144642328674905229e+01,1.989802621577259067e+00,7.442004186565331914e+00,8.883030036393961382e+00
1.188715697775280660e+02,1.610935158766011455e+00,3.501604929943012223e+01,1.062968477098720221e+01
1.908774132051942374e+01,6.736060695467223525e+00,4.485832433708854694e+01,4.628008205619619986e+01
2.893651129080533480e+01,1.533416156401348474e+01,3.922558798213059106e+01,3.353914371493662827e+01
1.840436587707265517e+02,1.770150731245474773e+01,1.710190736471867012e+01,9.759227163419474493e+00
7.678670576116849134e+01,9.554696287953541756e+00,4.701498122143534175e+01,3.687367937972859977e+01
1.377213234779264894e+02,9.156229268579739511e+00,1.451894212335382228e+01,9.076307997350243184e+00
1.063318620180669711e+02,1.520212047244842424e+01,4.688826262057175143e+01,8.373810923737361023e+00
1.226038368144584183e+02,1.651126535994822575e+01,1.480355562412881731e+01,8.864295710167155562e+00
9.338444131191161546e+01,9.002774556372896697e+00,8.672005192262972173e+00,8.920590327656190865e+00
5.670799831447794759e+01,8.162908387890910333e-01,2.217411016497389653e+01,8.476056909937989658e+00
1.627499075258986636e+02,1.962708592555333453e+01,1.606410395961336235e+01,9.458002336444000235e+00
1.109743106660189227e+02,7.243537436926052564e+00,3.963715033904526308e+01,9.998452731328789866e+00
3.178288443412694519e+01,8.607759073301053832e+00,2.497720163756861567e+00,7.942556075251670400e+00
1.866837614480114951e+02,2.992594146542353339e+00,1.834612343713325444e+01,9.859527667502169024e+00
1.946236978937517961e+02,3.167614609815865290e+00,2.726291417905717296e+01,1.086000180488382760e+01
5.199802336561596405e+01,1.660947311709720964e+01,3.820293654116696302e+01,8.925153220276737187e+00
1.060714340746311137e+02,9.120825344191057837e+00,1.868024849441681212e+01,8.750196748517794276e+00
1.192628105266450689e+02,4.263444837051322267e+00,9.248911999094765690e+00,9.109889773316634631e+00
5.235218655119560083e+01,8.629530167428518084e+00,7.511189803253859765e+00,8.297462899537242365e+00
1.101805323495557758e+02,8.648055961343068532e+00,8.939166733476250570e+00,9.005989727381850329e+00
1.981912043505359406e+02,1.708199740559092561e+01,1.853445935521796528e+01,1.017586034586397403e+01
1.613317560515940485e+01,9.681887978122286853e+00,2.592480806570493357e+01,8.919931878706567119e+00
1.653179568238962531e+02,1.364997548660462101e+01,3.060284078216149339e+01,1.103806316694381806e+01
9.477750423999373197e+01,8.856182492281483576e-01,4.543681881454830318e+00,9.176899251697806292e+00
1.654559146856956033e+02,8.452398926358002385e+00,2.394891458900688441e+00,7.309059705911683302e+00
2.274068893248404422e+01,1.285221686871686231e+01,1.323824462196583873e+01,8.623149997277618439e+00
